 to your browser,لمتصفحك
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    عدّل قائمة السلاسل في المربع. القواعد:
    <ul>
        <li>كل بادئة سلسلة في سطر جديد.</li>
        <li>الأحرف الخاصة المسموح بها هي ""/"" و ""-"".</li>
        <li>
            اختياريًا، قم بتعيين عدد الأرقام في السلسلة باستخدام نقطة (.)
            تليها علامات الهاش (#). على سبيل المثال، "".####"" تعني أن السلسلة
            ستحتوي على أربعة أرقام. الافتراضي هو خمسة أرقام.
        </li>
        <li>
            يمكنك أيضًا استخدام المتغيرات في اسم السلسلة عن طريق وضعها
            بين نقاط (.)
            <br>
            المتغيرات المدعومة:
            <ul>
                <li><code>.YYYY.</code> - السنة بأربعة أرقام</li>
                <li><code>.YY.</code> - السنة برقمين</li>
                <li><code>.MM.</code> - الشهر</li>
                <li><code>.DD.</code> - يوم الشهر</li>
                <li><code>.WW.</code> - أسبوع السنة</li>
                <li>
                    <code>.{fieldname}.</code> - اسم الحقل في المستند، على سبيل المثال
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - السنة المالية (يتطلب تثبيت ERPNext)</li>
                <li><code>.ABBR.</code> - اختصار الشركة (يتطلب تثبيت ERPNext)</li>
            </ul>
        </li>
    </ul>
    أمثلة:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
"
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>مساعدة CSS المخصصة</h3>

<p>ملاحظات:</p>

<ol>
<li>جميع مجموعات الحقول (التسمية + القيمة) يتم تعيين سماتها <code>data-fieldtype</code> و <code>data-fieldname</code></li>
<li>جميع القيم تُعطى الفئة <code>value</code></li>
<li>جميع فواصل الأقسام تُعطى الفئة <code>section-break</code></li>
<li>جميع فواصل الأعمدة تُعطى الفئة <code>column-break</code></li>
</ol>

<h4>أمثلة</h4>

<p>1. محاذاة الأعداد الصحيحة إلى اليسار</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. إضافة حد سفلي للأقسام باستثناء القسم الأخير</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
"
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>مثال على الرد بالبريد الإلكتروني</h4>

<pre>طلب متأخر

تجاوزت المعاملة {{ name }} تاريخ الاستحقاق. يرجى اتخاذ الإجراء اللازم.

التفاصيل

- العميل: {{ customer }}
- المبلغ: {{ grand_total }}
</pre>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب البريد الإلكتروني هي الحقول الموجودة في المستند الذي ترسل منه البريد الإلكتروني. يمكنك معرفة حقول أي مستند من خلال الإعداد &gt; تخصيص طريقة عرض النموذج واختيار نوع المستند (مثلا: فاتورة المبيعات)</p>

<h4>القوالب</h4>

<p>يتم تجميع القوالب باستخدام لغة Jinja Templating Language. لمعرفة المزيد عن Jinja، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذه التوثيقات</a>.</p>
"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">أو</h5>"
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>يمكن إنشاء نماذج ويب متعددة لنوع مستند واحد. أضف عوامل تصفية خاصة بنموذج الويب هذا لعرض السجل الصحيح بعد الإرسال.</p><p>على سبيل المثال:</p>
<p>إذا قمت بإنشاء نموذج ويب منفصل كل عام لجمع ملاحظات الموظفين، أضف حقلاً باسم ""السنة"" في نوع المستند وأضف عامل تصفية <b>السنة = 2023</b></p>
"
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>قم بتعيين السياق قبل عرض القالب. مثال:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>"
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>للتفاعل مع HTML أعلاه، سيتعين عليك استخدام `root_element` كمحدد أصل.</p><p>على سبيل المثال:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// هنا يتم توفير root_element بشكل افتراضي
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""محتوى جديد"";
</code></pre>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>",<p>تم إعادة تعيين رمز المرور السري الخاص بك لمرة واحدة (OTP) على {0}. إذا لم تقم بإجراء إعادة التعيين هذه ولم تطلبها، فيرجى الاتصال بمسؤول النظام على الفور.</p>
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ يوم الأسبوع (0 - 6) (0 هو الأحد)
│  │  │  └───── الشهر (1 - 12)
│  │  └────────── يوم الشهر (1 - 31)
│  └─────────────── الساعة (0 - 23)
└──────────────────── الدقيقة (0 - 59)

---

* - أي قيمة
/ - قيم الخطوة
</pre>
"
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",
"<span class=""h2"">Hi,</span>","<span class=""h2"">مرحبًا،</span>"
"<span class=""h4""><b>Reports &amp; Masters</b></span>",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>تحذير:</strong> هذا الحقل تم إنشاؤه بواسطة النظام وقد يتم الكتابة فوقه في تحديث مستقبلي. قم بتعديله باستخدام {0} بدلاً من ذلك.
#ERROR!,#ERROR!
>,>
>=,>=
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens",يجب أن يبدأ اسم نوع المستند بحرف ويمكن أن يتكون فقط من الحروف والأرقام والمسافات والشرطات السفلية والواصلات
A featured post must have a cover image,يجب أن تحتوي الوظيفة المميزة على صورة غلاف
A field with the name {0} already exists in {1},حقل بالاسم {0} موجود بالفعل في {1}
A file with same name {} already exists,ملف بنفس الاسم {} موجود بالفعل
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,قائمة الموارد التي سيكون لها التطبيق العميل الوصول إلى بعد قيام المستخدم يسمح بذلك. <br> على سبيل المثال مشروع
A new account has been created for you at {0},تم إنشاء حساب جديد لك في {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,تم إنشاء {0} {1} متكرر لك من خلال التكرار التلقائي {2}.
A symbol for this currency. For e.g. $,رمز هذه العملة. ر.س مثلاً
A template already exists for field {0} of {1},قالب موجود بالفعل للحقل {0} من {1}
A word by itself is easy to guess.,كلمة في حد ذاتها هي سهلة التخمين.
A0,A0
A1,A1
A2,A2
A3,A3
A4,A4
A5,A5
A6,A6
A7,A7
A8,A8
A9,A9
ALL,جميع
API,واجهة برمجة التطبيقات
API Access,الوصول إلى API
API Endpoint,نقطة وصولAPI
API Endpoint Args,نقطة وصول API Args
API Key,مفتاح API
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,مفتاح API والسر للتفاعل مع خادم الترحيل. سيتم إنشاؤها تلقائيًا عند إرسال أول إشعار دفع من أي من التطبيقات المثبتة على هذا الموقع.
API Key cannot be regenerated,لا يمكن إعادة إنشاء مفتاح API
API Method,طريقة API
API Secret,كلمة مرور API
ASC,تصاعدي
About,حول
About Us,عنا
About Us Settings,إعدادات صفحة من نحن
About Us Team Member,أعضاء فريق صفحة من نحن
About {0} minute remaining,حوالي {0} دقيقة متبقية
About {0} minutes remaining,حوالي {0} دقائق متبقية
About {0} seconds remaining,حوالي {0} ثانية متبقية
Access Control,إعدادات التحكم
Access Key ID,معرف مفتاح الوصول
Access Key Secret,الوصول إلى Key Secret
Access Log,سجل الوصول
Access Token,رمز وصول
Access Token URL,رابط رمز الدخول
Access not allowed from this IP Address,الوصول غير مسموح به من عنوان IP هذا
Account,حساب
Account Deletion Settings,إعدادات حذف الحساب
Accounts Manager,مدير حسابات
Accounts User,حسابات المستخدمين
Action,حدث
Action / Route,العمل / الطريق
Action Complete,اكتمل الإجراء
Action Failed,فشل العمل
Action Label,تسمية الإجراء
Action Timeout (Seconds),مهلة الإجراء (ثانية)
Action Type,نوع العمل
Action {0} completed successfully on {1} {2}. View it {3},اكتمل الإجراء {0} بنجاح على {1} {2}. اعرضه {3}
Action {0} failed on {1} {2}. View it {3},فشل الإجراء {0} على {1} {2}. اعرضه {3}
Actions,الإجراءات
Activate,تفعيل
Active,نشط
Active Directory,Active Directory
Active Domains,المجالات النشطة
Active Sessions,الجلسات النشطة
Activity,نشاط
Activity Log,سجل النشاط
Add,إضافة
Add / Remove Columns,إضافة / إزالة أعمدة
Add / Update,إضافة / تحديث
Add A New Rule,إضافة قاعدة جديدة
Add Attachment,إضافة مرفق
Add Background Image,إضافة صورة خلفية
Add Border at Bottom,إضافة حد سفلي
Add Border at Top,إضافة حد علوي
Add Card to Dashboard,إضافة بطاقة إلى لوحة المعلومات
Add Chart to Dashboard,إضافة مخطط إلى لوحة القيادة
Add Child,إضافة الطفل
Add Column,إضافة عمود
Add Contact,إضافة جهة اتصال
Add Contacts,اضف جهات اتصال
Add Container,أضف الحاوية
Add Custom Tags,إضافة علامات مخصصة
Add Filters,إضافة عوامل تصفية
Add Gray Background,أضف خلفية رمادية
Add Group,إضافة مجموعة
Add Indexes,إضافة فهارس
Add Multiple,إضافة متعددة
Add New Permission Rule,إضافة قاعدة صلاحيات جديدة
Add Participants,أضف مشاركين
Add Query Parameters,إضافة معلمات الاستعلام
Add Roles,إضافة أدوار
Add Row,إضافة صف
Add Signature,إضافة التوقيع
Add Space at Bottom,إضافة مساحة في الأسفل
Add Space at Top,إضافة مساحة في الأعلى
Add Subscribers,إضافة المشتركين
Add Tags,إضافة علامات
Add Tags,إضافة علامات
Add Template,إضافة قالب
Add Total Row,إضافة صف الإجمالي
Add Translate Data,إضافة بيانات الترجمة
Add Unsubscribe Link,إضافة رابط إلغاء الاشتراك
Add User Permissions,إضافة أذونات المستخدم
Add Video Conferencing,إضافة مؤتمر فيديو
Add a Filter,إضافة عامل تصفية
Add a New Role,إضافة دور جديد
Add a Row,إضافة صف
Add a comment,إضافة تعليق
Add a new section,إضافة قسم جديد
Add a row above the current row,إضافة صف فوق الصف الحالي
Add a row at the bottom,إضافة صف في الأسفل
Add a row at the top,إضافة صف في الأعلى
Add a row below the current row,إضافة صف أسفل الصف الحالي
Add a {0} Chart,أضف مخطط {0}
Add column,إضافة عمود
Add field,إضافة حقل
Add new tab,إضافة علامة تبويب جديدة
Add page break,إضافة فاصل صفحات
Add script for Child Table,إضافة البرنامج النصي لجدول الطفل
Add section above,إضافة قسم أعلاه
Add section below,إضافة قسم أدناه
Add tab,إضافة علامة تبويب
Add to Dashboard,إضافة إلى لوحة القيادة
Add to ToDo,أضف إلى ToDo
Add to table,إضافة إلى الجدول
Add to this activity by mailing to {0},أضف إلى هذا النشاط عن طريق إرسال بريد إلكتروني إلى {0}
Add {0},إضافة {0}
Added,تمت الإضافة
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",تمت إضافة كود HTML في قسم <head> لصفحة الويب، ويُستخدم بشكل أساسي للتحقق من ملكية الموقع وتحسين محركات البحث (SEO)
Added default log doctypes: {},تمت إضافة أنواع مستندات السجل الافتراضية: {}
Added {0} ({1}),تمت إضافة {0} ({1})
Additional Permissions,ضوابط إضافية
Address,عنوان
Address Line 1,العنوان سطر 1
Address Line 2,العنوان سطر 2
Address Template,نموذج العنوان
Address Title,إسم العنوان
Address Title is mandatory.,عنوان العنوان إلزامي.
Address Type,نوع العنوان
Address and other legal information you may want to put in the footer.,العنوان والمعلومات القانونية الأخرى التي قد ترغب في وضعها في تذييل الصفحة
Addresses,عناوين
Addresses And Contacts,العناوين و جهات الاتصال
Adds a custom client script to a DocType,إضافة سكريبت برمجية مخصصة لجهة العميل إلى نوع مستند
Adds a custom field to a DocType,إضافة حقل مخصص إلى نوع مستند
Administration,الإدارة 
Administrator,المدير
Administrator Logged In,تسجيل دخول مسؤول النظام
Administrator accessed {0} on {1} via IP Address {2}.,قام المسؤول بالوصول إلى {0} في {1} عبر عنوان بروتوكول الإنترنت {2}.
Administrator can't follow,لا يمكن للمسؤول إجراء عملية المتابعة
Advanced,متقدم
Advanced Control,التحكم المتقدم
Advanced Search,البحث المتقدم
Advanced Settings,إعدادات متقدمة
After,بعد
After Cancel,بعد الإلغاء 
After Delete,بعد الحذف
After Discard,بعد التجاهل
After Insert,بعد الإدراج
After Rename,بعد إعادة التسمية
After Save,بعد الحفظ
After Save (Submitted Document),بعد الحفظ (المستند المقدم)
After Submission,بعد التسليم النهائي
After Submit,بعد التسليم
Aggregate Field is required to create a number card,يجب تحديد حقل تجميعي لإنشاء بطاقة رقمية
Aggregate Function Based On,العملية الحسابية المستندة إلى
Aggregate Function field is required to create a dashboard chart,حقل الدالة التجميعية مطلوب لإنشاء مخطط في لوحة البيانات
Alert,إنذار
Alerts and Notifications,التنبيهات والإشعارات
Align,محاذاة
Align Labels to the Right,محاذاة التسميات إلى اليمين
Align Right,محاذاة اليمين
Align Value,محاذاة القيمة
All,الكل
All Day,على مدار اليوم
All Images attached to Website Slideshow should be public,يجب أن تكون جميع الصور المرفقة بشرائح العرض في الموقع العام 'عامة'
All Records,جميع السجلات
All Submissions,جميع عمليات الإرسال
All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.
All fields are necessary to submit the comment.,جميع الحقول ضرورية لإرسال التعليق.
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",جميع حالات سير العمل والأدوار  المتاحة. خيارات حالة المستند : 0 تعني 'محفوظ'، 1 تعني 'مُعتمد'، و 2 تعني 'ملغي'
All-uppercase is almost as easy to guess as all-lowercase.,جميع الأحرف الكبيرة تكون سهلة التخمين تقريبا كالأحرف الصغيرة
Allocated To,مُسند إلى
Allow,السماح
Allow API Indexing Access,السماح بالوصول لفهرسة واجهة برمجة التطبيقات
Allow Auto Repeat,السماح للتكرار التلقائي
Allow Bulk Edit,السماح بتحرير الكل
Allow Bulk Editing,السماح بالتعديل المجمع
Allow Consecutive Login Attempts ,السماح لمحاولات تسجيل الدخول المتتالية
Allow Dropbox Access,السماح بالدخول للدروب بوكس
Allow Google Calendar Access,السماح بالوصول إلى تقويم Google
Allow Google Contacts Access,السماح بوصول جهات اتصال Google
Allow Google Drive Access,تسمح جوجل محرك الوصول
Allow Guest,اسمح للزائر
Allow Guest to View,السماح للزائر بالعرض
Allow Guest to comment,السماح للزوار بالتعليق
Allow Guests to Upload Files,السماح للزوار بتحميل الملفات
Allow Import (via Data Import Tool),السماح بالاستيراد (عبر أداة استيراد البيانات)
Allow Login After Fail,السماح بتسجيل الدخول بعد الفشل
Allow Login using Mobile Number,السماح بتسجيل الدخول باستخدام رقم الهاتف
Allow Login using User Name,السماح بتسجيل الدخول باستخدام اسم المستخدم
Allow Modules,السماح بالوصول إلى التطبيقات
Allow Older Web View Links (Insecure),السماح بروابط عرض الويب الأقدم (غير آمن)
Allow Print for Cancelled,السماح بالطباعة للإلغاء
Allow Print for Draft,السماح بالطباعة للمسودة
Allow Read On All Link Options,السماح بالقراءة لجميع خيارات الربط
Allow Rename,السماح بإعادة التسمية
Allow Roles,الصلاحيات المسموح بها
Allow Self Approval,اسمح بالموافقة الذاتية
Allow Sending Usage Data for Improving Applications,السماح بإرسال بيانات الاستخدام لتحسين التطبيقات
Allow approval for creator of the document,السماح بالموافقة على منشئ المستند
Allow comments,السماح بالتعليقات
Allow delete,السماح بالحذف
Allow document creation via Email,السماح بإنشاء المستندات عبر البريد الإلكتروني
Allow editing after submit,السماح بالتعديل بعد الإرسال
"Allow editing even if the doctype has a workflow set up.

Does nothing if a workflow isn't set up.","السماح بالتعديل حتى لو كان نوع المستند لديه سير عمل مُعد.

لا يفعل شيئًا إذا لم يتم إعداد سير عمل."
Allow events in timeline,السماح للأحداث في المخطط الزمني
Allow in Quick Entry,السماح لأدخال سريع
Allow incomplete forms,السماح بالنماذج غير المكتملة
Allow multiple responses,السماح بردود متعددة
Allow on Submit,السماح بالإعتماد
Allow only one session per user,السماح لجلسة واحدة فقط لكل مستخدم
Allow page break inside tables,السماح بفواصل الصفحات داخل الجداول
Allow print,السماح بالطباعة
Allow saving if mandatory fields are not filled,يسمح بحفظ البيانات في حالة عدم ملئ الحقول الإلزامية
Allow sending usage data for improving applications,السماح بإرسال بيانات الاستخدام لتحسين التطبيقات
Allow user to login only after this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط بعد هذه الساعة (0-24)
